productID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
2,aqua,illite,propylene glycol. kaolin,montmorillonite,titanium dioxide,parfum. sodium polyacrylate,calcite,sodium acrylate / sodium acryloyldimethyl taurate copolymer,polysorbate 80,phenoxyethanol,isohexadecane,disodium cocoamphodiacetate,magnesium aluminum silicate,xanthan gum,disodium edta,citric acid,caprylyl glycol,alcohol denat,polysorbate 20,melaleuca alternifolia leaf extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,caprylic/capric triglyceride,ppg-5 pentaerythrityl ether,peg-5 pentaerythrityl ether,butyrospermum parkii butter/shea butter,cera alba/beeswax,panthenol,hydrogenated vegetable oil,ethylhexyl palmitate,silica silylate,polybutene,glycine soja/soybean stereols,aqua/water,sodium saccharin,myristyl malate phosphonic acid,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aqua/water,c12-15 alkyl benzoate,glycerin,ethylhexyl salicylate,bis-ethylhexyloxyphenol methoxyphenyl triazine,alcohol denat,diisopropyl sebacate,butyl methoxydibenzoylmethane,drometrizole trisiloxane,propylene glycol,diethylhexyl butamido triazone,dimethicone,synthetic wax,titanium dioxide,potassium cetyl posphate,ammonium polyacryloyldimethyl taurate,caprylyl glycol,disodium edta,glyceryl stearate,hydroxypropyl methylcellulose,isopropyl lauroyl sarcosinate,palmitic acid,peg-100 stearate,pentylene glycol phenoxyethanol,stearic acid,terephthalylidene dicamphor sulfonic acid,tocopherol,triethanolamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,helianthus annuus (sunflower) seed oil,olea europaea (olive) fruit oil,fragrance*,arnica montana flower extract,betula alba leaf extract,limonene*,linaloo*,geraniol*,coumarin* *composé présent dans les huiles essentielles naturelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,alcohol denat. (sd alcohol 39c),aqua (water),parfum (fragrance),limonene,citral,linalool.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ethyl & but copolymhyl acetate,dimethicone,citric acid,nitrocellulose,isopropyl alcohol,benzopheonone-1,neopentyl glycol,trimellitic anhydride copolymer,triphenyl phosphate,stearalkonium,trimethyl pentanyl,hectorite / bentoniteadipic acid,dilsobutyrate. (+ / -) : mica,silica,titanium dioxide,fd&c yellow 5,bismuth oxychloride,d&c red 6,7,34,ferric ammonium / ferrocyanide,polyethylene terephthalate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,aqua (purfi dwater),glycarin vegetable),polysorbate 20,aloe barbadensi (aloe vera) leaf juice decolorized),menthol,mentha piperita (peppermint) oil,stvia rebaudiana (stevia) extract,anethole,echinacea purpurer echiracaa) extract,citrus aurantium dulcis (orange) oil citrus limon lemon) peel oil,lavandula angustifolia (lavender) oil,ricinus comm nis (castor) seed oil,hydrastis canadensis (goldenseal) leaf extract,pimpinella anisum (anise) fruit oil,pelargonium graveolens (geranium) oil,rosmarinus officinalis (rosemary) leaf/stem oil,hamamelis virginiana witch hazel) water,citrus aurantium bergamia (bergamot) peel ol,citrus paradisi (grapefruit) seed extract,foeniculum vulgare (fennel) ok,sgenia caryophyllus (clove) flower oil,ocimum basilicum (basil) oil,rosewater concentrate,ubiquinone (coq10) questions and comments? call toll free 1-888-326-3368,monday - friday,9:00 – 5:00,cst д o62018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,dicaprylyl carbonate,titanium dioxide,caprylic/capric triglyceride,argania spinosa kernel oil*,aluminium hydroxide,stearic acid,polyglyceryl-3 diisostearate,parfum,zanthoxylum bungeanum fruit extract,oleyl alcohol.  * ingrédients issus de l'agriculture biologique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,aqua,glycerin,hydroxyethyl cellulose,phenoxyethanol,aloe barbadensis leaf juice,allantoin,benzoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,mitch® clean cut® ingredients: aqua (water,eau),petrolatum,ozokerite,cetearyl alcohol,bis-diglyceryl polyacyladipate-2,ceteareth-25,lanolin cera (lanolin wax,cire de lanoline),copernicia cerifera cera (carnauba wax,cire de carnauba),paraffinum liquidum (mineral oil,huile minérale),propylene glycol,peg-40 hydrogenated castor oil,vp/ va copolymer,diethylhexyl malate,ceteareth-20,pvp,polysorbate 60,phenoxyethanol,glycerin,caprylhydroxamic acid,methylpropanediol,parfum (fragrance),limonene,linalool,hydroxyisohexyl 3-cyclohexene carboxaldehyde,butylphenyl methylpropional,činnamal,citronellol,benzyl salicylate peel here p13(z) 09531 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,aqua,sodium c14-16 olefin sulfonate,glycol stearate,cocamidopropyl betaine,cocamide dipa,sodium chloride,peg-120 methyl glucose dioleate,cocos nucifera oil,hydrolyzed keratin,tocopheryl acetate,glycerin,phenoxyethanol,hydroxypropyl methylcellulose,polyquaternium-10,tetrasodium edta,phosphoric acid,methylisothiazolinone,parfum,coumarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,theobroma cacao extract,paraffinum liquidum,cera microcristallina,theobroma cacao seed butter,dimethicone,parfum,tocopheryl acetate,ci 40800,zea mays oil,isopropyl myristate,benzyl benzoate,benzyl cinnamate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,aqua,theobroma cacao extract,glycerin,glyceryl stearate,petrolatum,propylene glycol,paraffinum liquidum,theobroma cacao seed butter,elaeis guineensis oil,cocos nucifera oil,cetyl alcohol,dimethicone,butyrospermum parkii butter,prunus amygdalus dulcis oil,tocopheryl acetate,centella asiatica extract,hydrolyzed collagen,hydrolyzed elastin,argania spinosa kernel oil,acetylarginyltryptophyl diphenylglycine,hydroxyethylcellulose,peg-8 stearate,phenoxyethanol,benzoic acid,sorbic acid,behentrimonium methosulfate,butylene glycol,caramel,parfum,cellulose,sodium acetate,stearyl alcohol,myristyl alcohol,benzyl benzoate,benzyl salicylate,limonene,hexyl cinnamal,butylphenyl methylpropional,linalool.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,water (aqua). cocos nucifera (coconut) fruit extract,glycine sog (soybean) oil,butyrospermum parkıı (shea) butter,isopropyl myristate,propyvlene givcol,cetyl alcohol,palmitic acid,stearic acid,cocos nucifera (coconut) oil. theobroma cacao (cocoa) seed butter,tocopherol,tocopheryl acetate,gardenia tahitensis flower extract,prunus amygdalus dulcis (sweet almond) oil,macadamia ternifolia seed oil,aloc barbadensis leaf juice,nonfat dry milk (sine adipe lac). citric acid,potassium sorbate,sodium benzoate,triethanolamine,ethylhexylglycerin,carbomer,glycerin,peg-0 stearate,tetrasodium edta,pentylene glycol,decylene glycol,1,2-hexanediol,stearyl alcohol,phenoxyethanol,fragrance (parfum). benzyl alcohol,benzyl benzoate,coumarin. due to high concentration of natural ingredients,product color and consistency may vary e.t.browne drug co.,inc.,cp englewood cliffs,nj 07632 usa et.browne (u.k) ltd.,london n3 1xw england palmer's cosmetics (rsa) 12 walter place durban ©2018 e.t.browne drug co.,inc. made in usa www.palmers.com bb3265p29d038 ethically & sustainably sourced ingredients 12 m open no animal testing cated owned &quot,10181 13265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,sodium palmate*,sodium cocoate/sodium palm kernelate,water (aqua),glycerin,pine last year wood tar,sodium chloride,sodium gluconate *rainforest alliance certified tm tend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,water (water),cocamidopropyl betaine,sodium hydroxyprópyl štarch phosphate,lauric acid,sodium lauroyl glycinate,sodium lauroyl isethionate,hydrogenated soybean oil,glycine soja (soybean) oil,sodium chloride,glycerin,phenoxyethanol,guar hydroxypropyltrimonium chloride,stearic acid,citric acid,fragrance (parfum),sodium isethionate,bht,tetrasodium edta,jódopropynyl butylcarbamate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,water (aqua),glycerin,stearic acid,glycol stearate,peg-100 stearate,dimethicone,tocopheryl acetate,glyceryl stearate,potassium stearate,carbomer,caprylyl glycol,cetyl alcohol,xanthan gum,fragrance (parfum),stearamide amp,bht,phenoxyethanol,disodium edta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,redients isteme 20% hnosalate 7.0%,tene 50% ses helns prevent sunbum .f used as directer rtcin mesures (see directions,decreases the i sih aging caused by the sun abe:00 not pe icture or incinerate. conternts unte hstre at temperatures above 120 f. do not use i ntional misuse t deliberately concentrating r ame ar spark keep away from sources of igno s can be hamor fatal. u use on damaged or broken skn e using this product keep away from lace h aut af eyes rinse with water to rene and ask a doctor if rash occurs aa poison control center terally and spread evenly by hated ut of reach of children. he or cortact a hold container 4-6 inches do not spray directly on face t mut appy in windy erb0 mintes ot s a ad early skin ungrstection lection measures. spending t least every 2 hours ve a sunscreen with 2 a broad a ion measures m10 am -2 pm.. children under 6 redients actnd lauryl peg-8 oetate,mineral oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,water (wate,eau),lauramidopropylamine oride,glycerin,cetrimonium chloride,lauramine oxide dolete citric acid sodium berzoate,myristamidopropylamine ooide create (fragrance),zinc sultate,dimethyl lauramine tetrasodium edta,alcohol,dimethyl myristamine ci 42090 (blue 1),cl 17200 (red 33 sodium chloride,peg-120 methyl glucose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,aqua (water,eau),glycerin,lauramine oxide sunflowerseedamidopropyl ethyldimonium ethosulfate cetrimonium chloride cocamidopropyl betaine,hydroxypropyl methylcellulose dmdm hydantoin peg-9 parfum (fragrance) zinc sulfate citric acid sodium chloride dimethyl lauramine tetrasodium edta alcohol dimethyl myristamine,tocopheryl acetate,camellia chinese leaf extract,raspberry (raspberry) juice blueberry macrocarpon (cranberry) fruit juice cl 17200 (red 33),ci 15510 (orange 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,organic coconut oil,organic palm oil,sodium hydroxide,water,organic olive oil,natural rose fragrance,organic hemp oil,organic jojoba oil,sea salt,citric acid,tocopherol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,aqua,potassium cocoate (verseiftes kokosöl),potassium palm kernelate (verseiftes palmkernöl),potassium olivate (verseiftes olivenöl),glycerin,eucalyptus globulus oil (eukalyptusöl),potassium hempate (verseiftes hanföl),potassium jo­jobate (verseiftes jojobaöl),citric acid (zitronensäure),tocopherol (vitamin e),limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ingredients (inci): sodium cocoate (verseiftes kokosöl),sodium palmate (verseiftes palmöl),aqua,glycerin,limonene sodium olivate (verseiftes olivenol). cannabis sativa seed oil (hanföl),simmondsia chinensis seed oil (jojobaöl). citrus aurantium dulcis peel oil (süssorangenschalenöl),citrus limon peel oil (zitronenschalenöl),citrus aurantifolia oil (limonenöl),sodium chloride (meersalz),citricacid (zitronensäure),tocopherol (vitamin e),helianthus annuus seed oil (sonnenblumenöl),citral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,aqua,cocos nucifera oil,simmondsia chiensis seed oil,alcohol,* persea gratissima oil,cannabis sativa seed oil,citrus aurantium dulcis peel oil,lavandula angustifolia oil,quillaja saponaria wood extract,xanthan gum,tocopherol,limonene,linalool,citral,geraniol,coumarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,aqua,cocos nucifera oil (kokosöl),simmondsia chinensis seed oil (jojobaöl),alcohol,persea gratissima oil (avocadoöl),cannabis sativa seed oil (hanföl),pogostemon cablin leaf oil (patchouliöl),citrus aurantifolia oil (limonenöl),quillaja saponaria wood extract,xanthan gum,tocopherol (vitamin e),limonene,linalool,citral,geraniol,coumarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,dr. bronner' s menthe poivrée savon pur végétau fabriqué à base d'huiles biologiques,certifié commerce ingrédients.' sodium cocoate (huile de noix de coco saponifiée* t),sodium palmate (huile de palme saponifiée,tò,glycérine,,sodium olivate (huile d'olive saponifiée* t),mentha arvensis extract (extrait de menthe des champsiò,off (huile de menthe poivrée* t). cannabis sativa seed oil (huile de graines de chanvre*),simmondsia chinens\s seed de graines de jojoba 4),sodium chloride (sel de mer),citric acid (acide citrique),tocophero\s (vitamine û adiii0ne dans tout ce que nous faisons,soyons,ingrédients certifiés biologiques t ingrédients certifiés issus du commerce généreux,justes et aimants envers la à base d'huiles essentielles pures,planète terre et ses habitants. car nous ne p olds magic soaps snovks liard to be perfect pilot-provider-builder-trainer-teacher-/over-mate. no half-true sq,have cout age and smile,tuy triend. think and act 10 years a/pead' do teac\a & enemy t lue moral abc that onitos al/ en pain et en liqt'ide: poivrée. ros o.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,moral abc's the year 1: f amille de sav0nnlers fabriqué à base d'huiles certifié commerce aqua (eau),potassium cocoate (huile féeff),potassium olivate (huile d'olive 4,ensisf.rtr?? atraitdementhe des potassium hempate (huile de t'zssiumjc e),linalool (linalola) biologiques / 'ingrédients certl*.: _ essentielles pares en cas de or. bronner's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,abc that unites all mankin« the -r. none' 6th: absolute cleanline self,discipline the key to love abraham & israel: dr. bronner's menthe poivrée x savon pur végétai fabriqué à base d'huiles biologiques certifié commerce équitable ërblenrs:aquatpotassium cocoate (huile de noix de coco saponifiée) oïvate (huile d'olive saponifiée,t),glycérine,' menthahensi de menthe des champs),mentha piperita têhe potassium hempate (huile de chanvre saponifiée),(huile de jojoba saponifiée),citric acid (acide mtamine e),linalool (linalol*) tp±tsvtifiés bblogiques / tlngrédients certifiés issus du commerce équ± esentjeties pures dans une pièce ou dans de l'eau chaude: se nntlssement! déboucher l'ouverture si elle s'est obstrué1ne)i faire sortir le savon. il peut cas de contact avec les yeux,fificer abondamment dans tout ce que nous soyons généreux,justes dr.bronner's envers la ) all-onei habitants. qu'un ou magic soaps and smile,my frien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,almacenese a temperatura ambiente (15-25� c). ingredientes: water,glycerin,sodium laureth sulfate,alumina cocamidopropyl betaine,sorbitol,synthetic wax,laureth-4 carboxylic acid,microcrystalline wax,salicylic acid,ethylhexylglycerin,acrylates/c10-30 alkyl acrylate crosspolymer xanthan gum,sodium benzoate,9 fragrance,sodium hydroxide,mentho,polyquaternium-39,charcoal powder disodium edta,yellow 5 lake,talc,red 30. 388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,poudre de maranta arundinacea (marante),bicarbonate de sodium,huile de cocos nucifera (noix de coco),butyrospermum parkii (beurre de karité),triglycéride caprylique / caprique (huile de coco fractionnée),cire d'euphorbia cerifera (candelilla),huile de graines de simmondsia chinensis (jojoba)provenant du tournesol (vitamine e,provenant du tournesol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,poudre de maranta arundinacea (marante),bicarbonate de sodium,huile de cocos nucifera (noix de coco),butyrospermum parkji (beurre de karité),triglycéride caprylique/caprique (huile de coco fractionnée),cire d'euphorbia cerifera (candelilla),huile de graines de simmondsia chinensis (jojoba),huile essentielle de cedrus deodara (cèdre d'himalaya),huile essentielle de juniperus (gnévrier),tocophérol (vitamine e,provenant du tournesol). / ingredients: maranta rundinacea (arrowroot) powder,sodium bicarbonate (baking soda),nucifera (coconut) oil,butyrospermum parkii (shea butter),caprylic/capric triglyceride (fractionated toconut cil),euphorbia cerifera (candelilla) wax,simmondsia chinensis (jojoba) seed oil. cedrus deodara (himilayan cedar) essential oil,juniperus (juniper) essential oil,tocopherol (vitamin e,sunflower derived),/ mode d'emploi: maintenir le produit sur la peau pendant un moment pour qu'il ramollisse. appliquer doucement une mince totche uniforme sous les aisselles. / directions: hold product momentarity to to etten on contact with body heat. gently apply a small amount to underarms. en garde: pour un externe seulemen[ une se produire ne pas appliquer directement après le appliquer plus qu'il n'en ou sur une peau endommagée si des rougeurs ou de l'irritation surviennenl garder des enfants. / warnings: for external use skin occljr. do not apply directiy after shaving. do not discontinue use if rash or irritation of chiidren. c)cooorant cl,ilic. portland,or 91230,usa. sm 1030 brussels,schmioisnatiirais 19962 08531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,poudre de maranta arundinacea (marante),huile de cocos nucifera (noix de coco),cire d'euphorbia cerifera (candelilla),butyrospermtm parkii (beurre de karité),bicarbonate de sodium,triglycéride caprylique/caprique (huile de coco fractionnée),huile de graines de simmondsia chinensis (jojoba),parfum naturel,tocophérol (vitamine e,provenant du tournesol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,water,sodium laureth sulfate,sodium cloride,cocamidopropyl hydroxysultaine,lauramidopropyl betaine,sodium cocoyl sarcosinate,tea-cocoyl glutamate,di-ppg-2 myreth-10 adipate,aloe barbadensis leaf juice,peg-120 methyl glucose dioleate,sucrose,sodium hyaluronate,cetyl triethylmonium dimethicone peg-8 succinate,butylene glycol,hexylene glycol,polyquaternium-7,laureth-2,caprylyl glycol,sodium sulfate,tocopheryl acetate,edta,disodium edta,phenoxyethanol (iln41230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,mascara fur ultimative lange und volumen / mascara de pestanas longitud extrema / mascara lunghezza estrema,volume immediato / mascara voor extreem lange en volle wimpers ingredients: wateriaquaveau copernicia cerifera (carnauba) waxicera carnaubaicire de carnauba. stearic acid glyceryl stearate polyisobutene silica acry- tates copolymer-aminomethy propanediol-vp/eicosene copolymer-hydrolyzed wheat protein-sodium hyaluronate-urea-panthenol . pantethine,ethylhexyl glycerin isostearic acid acacia senegal gum lauroyl lysine glycerin melanin calcium aluminum borosilicate pentaerythrityl tetra-di-t-butyl hydroxyhydro- cinnamate sodium lauryl sulfate.simethicone peg-8,dimethicone.pvp.dimethicone peg-8 p yacrylate hydroxyethylcellulose-disodium edta sorbic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,water\aqua\eau,aloe barbadensis leaf juice cet alcohol glyceryl stearate butylene glycol octyldodecano cetyl ethylhexanoate dimethicone peg-100 stearate glycer polymethacrylate gentiana lutea (gentian) root extract-astro caryum murumuru seed butter helianthus annuus (sunflower seed oil chondrus crispus (carrageenan) - panthenol glycerin,caffeine ethylhexyl hydroxystearate sucrose phenyl trimethi - cone polysorbate 60 glycine soja (soybean) oil sorbitan palmitate glycine sojá (soy - bean) sterols tocopheryi,acetate phytan - triol bisabolol propylene glycol dicaprate,phytosphingosine sodium hyaluronate mag - nesium ascorbyl phosphate potassium car - bomer potassium stearate xanthan gum,disodium edta sorbic acid chlorphenesin,phenoxyethanol yellow 5 (ci 19140)- yellow 6 (ci 15985) [iln35782] © clinique laboratories,dist,new york,n,y,10022 wlb ltd,gu32 3dd,uk new york london paris made in u,k,6rgm clinique,com 24m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,mica,zinc stearate,silica,octyldodecyl stearoyl stearate,magnesium myristate,lauroyl lysine,citrus grandus extract,poria cocos sclerotium extract,magnolia grandifloria bark extract,astrocaryum murumuru seed butter,lactobacillus ferment,caffeine,bentonite,polyethylene,hd/trimethylol hexyllactone crosspolymer,lecithin,caprylyl glycol,squalane,tocopheryl acetate,hydroxyapatite,chlorphenesin,water/aqua/eau,sodium dehydroacetate,[ /- titanium dioxide (ci 77891),iron oxides (ci 77491,ci 77492,ci 77499),yellow 5 lake (ci 19140)][iln37363],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,clinique superdefense night recovery moisturizer hydratant nuit premieres rides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
